epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.799,2.19643,2.72869,2.66887,0.21025,0.23354,0.12446,0.033,2.61578,3.75698,3.69136,0.0752276,0.000199778,0.000199778
2,251.673,2.04567,1.90986,2.45598,0.35753,0.28997,0.23795,0.07053,2.52993,2.68648,3.53327,0.0504275,0.000399739,0.000399739
3,366.006,1.97472,1.66468,2.35334,0.51125,0.29937,0.2771,0.08229,2.55233,2.55665,3.50023,0.0256274,0.000599549,0.000599549
4,480.248,1.92071,1.60847,2.3053,0.39803,0.30251,0.27237,0.09118,2.39597,2.68414,3.23544,0.0008269,0.000799091,0.000799091
5,593.224,1.85249,1.49239,2.22734,0.4608,0.3511,0.31136,0.09786,2.37837,2.32402,3.30883,0.000798779,0.000798779,0.000798779
6,707.628,1.77332,1.37503,2.19006,0.59798,0.39655,0.4626,0.17398,2.28958,1.96684,3.12568,0.000798093,0.000798093,0.000798093
7,821.544,1.76582,1.30091,2.1462,0.70629,0.42633,0.51428,0.17866,2.3385,2.08413,3.1656,0.000797255,0.000797255,0.000797255
8,933.684,1.72525,1.2593,2.11755,0.62305,0.48276,0.52705,0.19581,2.2403,1.86494,3.04254,0.000796265,0.000796265,0.000796265
9,1047.29,1.69278,1.18237,2.06569,0.66422,0.45579,0.53875,0.20826,2.18085,1.96873,3.00175,0.000795125,0.000795125,0.000795125
10,1162.35,1.66616,1.18245,2.06261,0.63784,0.44168,0.54012,0.21585,2.13043,1.87658,2.98286,0.000793833,0.000793833,0.000793833
11,1281.53,1.65923,1.12236,2.03849,0.71328,0.55799,0.64709,0.25461,2.16777,1.64185,3.03149,0.000792391,0.000792391,0.000792391
12,1397.29,1.63293,1.09693,2.01742,0.67198,0.55172,0.65613,0.27151,2.05019,1.5737,2.96116,0.000790799,0.000790799,0.000790799
13,1511.21,1.60934,1.06674,1.99131,0.76555,0.53292,0.67489,0.28605,2.01987,1.56188,2.87598,0.000789058,0.000789058,0.000789058
14,1625.39,1.61223,1.04245,1.98655,0.69604,0.60188,0.70418,0.29676,2.05573,1.46209,2.88976,0.000787169,0.000787169,0.000787169
15,1740.47,1.5614,0.99818,1.9312,0.64486,0.6233,0.66944,0.26354,2.062,1.50212,2.92772,0.000785132,0.000785132,0.000785132
16,1856.69,1.54994,0.98167,1.92887,0.67719,0.59248,0.68644,0.29228,1.99218,1.49649,2.85737,0.000782948,0.000782948,0.000782948
17,1970.55,1.54461,0.97608,1.90799,0.70832,0.65849,0.73952,0.3153,2.00168,1.39162,2.90843,0.000780618,0.000780618,0.000780618
18,2084.73,1.52021,0.93263,1.90738,0.76359,0.66771,0.77561,0.32044,2.04633,1.36609,2.89498,0.000778143,0.000778143,0.000778143
19,2201.13,1.49851,0.92236,1.87779,0.72672,0.72526,0.78512,0.34889,1.91113,1.28984,2.75349,0.000775524,0.000775524,0.000775524
20,2317.13,1.50655,0.89948,1.87408,0.78737,0.67328,0.76871,0.34356,1.95358,1.34984,2.79444,0.000772761,0.000772761,0.000772761
21,2431.44,1.48937,0.91605,1.88019,0.79792,0.62853,0.76533,0.34393,1.92673,1.31473,2.79279,0.000769856,0.000769856,0.000769856
22,2549.1,1.48593,0.88987,1.8526,0.76924,0.71582,0.78628,0.35678,1.91805,1.26594,2.75717,0.00076681,0.00076681,0.00076681
23,2664.61,1.46276,0.86563,1.84551,0.63943,0.75883,0.64787,0.27283,1.933,1.78774,2.79235,0.000763625,0.000763625,0.000763625
24,2779.99,1.45654,0.85854,1.84057,0.7673,0.721,0.81003,0.36651,1.94135,1.18342,2.81981,0.0007603,0.0007603,0.0007603
25,2894.47,1.44403,0.83306,1.82082,0.7755,0.74175,0.81892,0.38078,1.85275,1.16425,2.71446,0.000756839,0.000756839,0.000756839
26,3011.32,1.44431,0.83481,1.80402,0.71901,0.73354,0.75562,0.33224,1.89833,1.38202,2.80259,0.000753241,0.000753241,0.000753241
27,3129.07,1.42862,0.81193,1.80023,0.78432,0.75235,0.826,0.38184,1.89346,1.14838,2.80133,0.000749508,0.000749508,0.000749508
28,3244.35,1.41368,0.82097,1.79113,0.79456,0.79415,0.86074,0.39433,1.85729,1.13285,2.72627,0.000745643,0.000745643,0.000745643
29,3358.23,1.39918,0.79667,1.78285,0.7914,0.71357,0.80361,0.38027,1.87511,1.27276,2.75744,0.000741646,0.000741646,0.000741646
