fastened_threshold,unfastened_threshold,coverage,accuracy,macro_f1_main_classes,false_unfastened_count,false_fastened_count,unknown_reject_rate
0.0,0.0,0.9953198127925117,0.8096723868954758,0.8234142247709629,49,47,0.0046801872074883
0.0,0.4,0.9953198127925117,0.8096723868954758,0.8234142247709629,49,47,0.0046801872074883
0.0,0.5,0.9875195007800313,0.8034321372854915,0.8197104449986667,48,47,0.0124804992199688
0.0,0.6,0.9516380655226209,0.7862714508580343,0.8161156855515956,36,47,0.0483619344773791
0.0,0.7,0.9110764430577223,0.7566302652106084,0.7982190468794491,29,47,0.08892355694227769
0.0,0.8,0.8720748829953198,0.734789391575663,0.7861650662010766,20,47,0.12792511700468018
0.0,0.9,0.8143525741029641,0.6973478939157566,0.7591774622278876,9,47,0.1856474258970359
0.4,0.0,0.9953198127925117,0.8096723868954758,0.8234142247709629,49,47,0.0046801872074883
0.4,0.4,0.9953198127925117,0.8096723868954758,0.8234142247709629,49,47,0.0046801872074883
0.4,0.5,0.9875195007800313,0.8034321372854915,0.8197104449986667,48,47,0.0124804992199688
0.4,0.6,0.9516380655226209,0.7862714508580343,0.8161156855515956,36,47,0.0483619344773791
0.4,0.7,0.9110764430577223,0.7566302652106084,0.7982190468794491,29,47,0.08892355694227769
0.4,0.8,0.8720748829953198,0.734789391575663,0.7861650662010766,20,47,0.12792511700468018
0.4,0.9,0.8143525741029641,0.6973478939157566,0.7591774622278876,9,47,0.1856474258970359
0.5,0.0,0.9953198127925117,0.8096723868954758,0.8234142247709629,49,47,0.0046801872074883
0.5,0.4,0.9953198127925117,0.8096723868954758,0.8234142247709629,49,47,0.0046801872074883
0.5,0.5,0.9875195007800313,0.8034321372854915,0.8197104449986667,48,47,0.0124804992199688
0.5,0.6,0.9516380655226209,0.7862714508580343,0.8161156855515956,36,47,0.0483619344773791
0.5,0.7,0.9110764430577223,0.7566302652106084,0.7982190468794491,29,47,0.08892355694227769
0.5,0.8,0.8720748829953198,0.734789391575663,0.7861650662010766,20,47,0.12792511700468018
0.5,0.9,0.8143525741029641,0.6973478939157566,0.7591774622278876,9,47,0.1856474258970359
0.6,0.0,0.9547581903276131,0.797191887675507,0.8248309607344975,49,33,0.0452418096723869
0.6,0.4,0.9547581903276131,0.797191887675507,0.8248309607344975,49,33,0.0452418096723869
0.6,0.5,0.9469578783151326,0.7909516380655226,0.8211271809622012,48,33,0.0530421216848674
0.6,0.6,0.9110764430577223,0.7737909516380655,0.8175324215151301,36,33,0.08892355694227769
0.6,0.7,0.8705148205928237,0.7441497659906396,0.7996357828429836,29,33,0.1294851794071763
0.6,0.8,0.8315132605304212,0.7223088923556942,0.7875818021646112,20,33,0.1684867394695788
0.6,0.9,0.7737909516380655,0.6848673946957878,0.7605941981914222,9,33,0.22620904836193448
0.7,0.0,0.9141965678627145,0.7722308892355694,0.8172547836025901,49,23,0.08580343213728549
0.7,0.4,0.9141965678627145,0.7722308892355694,0.8172547836025901,49,23,0.08580343213728549
0.7,0.5,0.906396255850234,0.765990639625585,0.8135510038302938,48,23,0.093603744149766
0.7,0.6,0.8705148205928237,0.748829953198128,0.8099562443832227,36,23,0.1294851794071763
0.7,0.7,0.8299531981279251,0.719188767550702,0.7920596057110763,29,23,0.17004680187207488
0.7,0.8,0.7909516380655226,0.6973478939157566,0.7800056250327037,20,23,0.20904836193447737
0.7,0.9,0.7332293291731669,0.6599063962558502,0.7530180210595148,9,23,0.2667706708268331
0.8,0.0,0.8705148205928237,0.7363494539781591,0.7976698099716022,49,20,0.1294851794071763
0.8,0.4,0.8705148205928237,0.7363494539781591,0.7976698099716022,49,20,0.1294851794071763
0.8,0.5,0.8627145085803432,0.7301092043681747,0.7939660301993059,48,20,0.1372854914196568
0.8,0.6,0.8268330733229329,0.7129485179407177,0.7903712707522348,36,20,0.1731669266770671
0.8,0.7,0.7862714508580343,0.6833073322932918,0.7724746320800884,29,20,0.21372854914196568
0.8,0.8,0.7472698907956319,0.6614664586583463,0.7604206514017159,20,20,0.25273010920436817
0.8,0.9,0.6895475819032761,0.62402496099844,0.7334330474285269,9,20,0.31045241809672386
0.9,0.0,0.8299531981279251,0.7098283931357254,0.7849443708810862,49,13,0.17004680187207488
0.9,0.4,0.8299531981279251,0.7098283931357254,0.7849443708810862,49,13,0.17004680187207488
0.9,0.5,0.8221528861154446,0.7035881435257411,0.7812405911087899,48,13,0.17784711388455537
0.9,0.6,0.7862714508580343,0.6864274570982839,0.7776458316617187,36,13,0.21372854914196568
0.9,0.7,0.7457098283931357,0.656786271450858,0.7597491929895723,29,13,0.2542901716068643
0.9,0.8,0.7067082683307333,0.6349453978159126,0.7476952123111997,20,13,0.29329173166926675
0.9,0.9,0.6489859594383776,0.5975039001560063,0.7207076083380108,9,13,0.35101404056162244
