epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2776,1.6122,3.60204,2.00567,0.61062,0.38849,0.4394,0.22235,1.36812,15.7329,1.67281,0.0671089,0.000332233,0.000332233
2,107.202,1.85547,2.52449,2.24776,0.42424,0.40288,0.33278,0.16711,1.62686,23.9366,2.01872,0.0341087,0.000665404,0.000665404
3,146.923,1.84843,2.52282,2.2687,0.80175,0.38849,0.51235,0.28556,1.24935,2.75488,1.54923,0.00110794,0.000997924,0.000997924
4,186.296,1.84021,2.50212,2.248,0.78786,0.56109,0.60416,0.32908,1.29159,2.84668,1.57216,0.000997803,0.000997803,0.000997803
5,225.123,1.70206,2.26723,2.08535,0.64475,0.53957,0.51958,0.25553,1.22686,4.91773,1.4595,0.000996097,0.000996097,0.000996097
6,262.415,1.67027,2.19851,2.0374,0.62851,0.62076,0.6636,0.37121,1.26769,3.8142,1.54128,0.000993906,0.000993906,0.000993906
7,65.1083,1.56866,1.99731,1.95634,0.81736,0.51515,0.6399,0.37367,1.17014,4.54345,1.41747,0.000991232,0.000991232,0.000991232
8,103.947,1.56328,1.94456,1.92868,0.82326,0.58993,0.67165,0.36772,1.25549,3.48649,1.46429,0.000988079,0.000988079,0.000988079
9,142.826,1.51049,1.73137,1.88451,0.76697,0.58993,0.67774,0.38595,1.17121,16.9857,1.35368,0.000984449,0.000984449,0.000984449
10,181.231,1.50087,1.75496,1.88888,0.86153,0.64748,0.76354,0.44829,1.13957,2.77662,1.33016,0.000980345,0.000980345,0.000980345
11,219.538,1.42684,1.63367,1.79667,0.88808,0.66187,0.7821,0.46813,1.20626,1.79977,1.46934,0.000975773,0.000975773,0.000975773
12,257.83,1.38379,1.58198,1.74833,0.73695,0.68528,0.78009,0.48069,1.08889,2.17848,1.34775,0.000970736,0.000970736,0.000970736
13,296.16,1.41893,1.59847,1.77832,0.8612,0.66956,0.7786,0.47512,1.11502,1.31339,1.314,0.000965239,0.000965239,0.000965239
14,334.489,1.34388,1.49523,1.7109,0.87542,0.70504,0.7871,0.52331,1.04997,3.848,1.24364,0.000959289,0.000959289,0.000959289
15,373.078,1.3668,1.48725,1.74551,0.88089,0.69784,0.80356,0.5305,0.97716,1.8572,1.19689,0.000952889,0.000952889,0.000952889
16,411.476,1.35765,1.47032,1.72041,0.84968,0.73196,0.80707,0.52654,1.05527,1.66926,1.25621,0.000946048,0.000946048,0.000946048
17,449.731,1.36427,1.43525,1.71649,0.84432,0.71942,0.80051,0.49307,1.02213,1.74645,1.20109,0.000938772,0.000938772,0.000938772
18,488.264,1.28518,1.31632,1.66782,0.90415,0.7482,0.8392,0.49654,1.15372,1.10675,1.3468,0.000931067,0.000931067,0.000931067
19,526.926,1.36242,1.38812,1.71589,0.81558,0.76259,0.83524,0.52235,1.06338,2.03363,1.21879,0.000922942,0.000922942,0.000922942
20,565.393,1.27204,1.33424,1.6451,0.89294,0.73381,0.81777,0.50299,1.05564,1.78151,1.26019,0.000914405,0.000914405,0.000914405
21,604.064,1.29467,1.28849,1.67716,0.87289,0.72662,0.82957,0.52589,0.96134,1.22139,1.19343,0.000905463,0.000905463,0.000905463
22,643.127,1.23425,1.25221,1.63104,0.87115,0.77826,0.86263,0.54926,0.87392,1.50482,1.08737,0.000896127,0.000896127,0.000896127
23,681.586,1.25612,1.29734,1.61456,0.89798,0.75993,0.84313,0.55469,0.92637,1.63207,1.14808,0.000886404,0.000886404,0.000886404
24,720.291,1.21091,1.1995,1.61242,0.93713,0.79856,0.87199,0.54101,0.98923,1.15411,1.18306,0.000876305,0.000876305,0.000876305
25,758.83,1.21985,1.31548,1.59564,0.88769,0.73925,0.84373,0.55608,1.03672,1.02065,1.25051,0.000865839,0.000865839,0.000865839
26,797.485,1.17032,1.20889,1.56115,0.86502,0.7554,0.84048,0.55551,1.02756,1.09581,1.25123,0.000855018,0.000855018,0.000855018
27,836.204,1.15643,1.14509,1.54716,0.85949,0.76259,0.8465,0.56699,0.90321,1.79871,1.10773,0.000843851,0.000843851,0.000843851
28,874.713,1.15301,1.13423,1.55784,0.87662,0.7554,0.8421,0.5352,1.01309,1.10447,1.19326,0.000832349,0.000832349,0.000832349
29,913.28,1.19722,1.1223,1.58376,0.91093,0.71942,0.8472,0.53611,1.00586,0.93874,1.21941,0.000820525,0.000820525,0.000820525
30,952.604,1.21119,1.13686,1.57832,0.89026,0.73381,0.82852,0.53777,0.98988,1.31992,1.22178,0.000808389,0.000808389,0.000808389
31,991.557,1.14097,1.04248,1.54089,0.76968,0.81295,0.84287,0.53382,1.03585,1.56686,1.21966,0.000795954,0.000795954,0.000795954
32,1030.7,1.15389,1.07275,1.54187,0.92053,0.75005,0.87396,0.55665,0.93374,0.88454,1.11401,0.000783231,0.000783231,0.000783231
33,1070.36,1.12866,0.99093,1.53232,0.92366,0.77698,0.89025,0.58681,0.94598,1.20968,1.14511,0.000770234,0.000770234,0.000770234
34,1109.81,1.10722,1.03625,1.51139,0.8926,0.83711,0.88829,0.59393,0.99047,0.89747,1.16845,0.000756976,0.000756976,0.000756976
35,1148.81,1.10147,0.98606,1.5092,0.90895,0.79002,0.87468,0.56588,0.9159,1.10327,1.12959,0.000743468,0.000743468,0.000743468
36,1188.02,1.06464,0.99837,1.47525,0.91132,0.79856,0.88693,0.57709,0.96409,0.95744,1.13442,0.000729725,0.000729725,0.000729725
37,1227.53,1.09615,0.96248,1.48523,0.92753,0.7554,0.88887,0.57984,0.95811,1.018,1.15629,0.000715761,0.000715761,0.000715761
38,1267.37,1.05262,0.97723,1.45141,0.89441,0.79218,0.87824,0.5953,0.88718,0.77775,1.06495,0.000701588,0.000701588,0.000701588
39,1306.49,1.07678,0.92579,1.46161,0.8487,0.84749,0.88576,0.59658,0.87914,0.94469,1.07843,0.000687222,0.000687222,0.000687222
40,1345.69,1.10047,0.96165,1.47369,0.8855,0.77896,0.87516,0.58076,0.92082,1.15106,1.11262,0.000672675,0.000672675,0.000672675
41,1384.38,1.06678,0.96379,1.44376,0.84447,0.84173,0.89288,0.57371,0.90391,0.68266,1.09549,0.000657963,0.000657963,0.000657963
