epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.1611,0.55817,0.59906,1,0.86497,0.0671217,0.000165217,0.000165217
2,21.1516,0.40055,0.67239,1,0.73977,0.0339549,0.000331757,0.000331757
3,26.9809,0.34946,0.60998,1,1.00164,0.000787645,0.00049779,0.00049779
4,32.7258,0.33185,0.66303,1,0.71546,0.000498284,0.000498284,0.000498284
5,38.463,0.28699,0.66927,1,0.78156,0.000496953,0.000496953,0.000496953
6,45.0927,0.26654,0.70827,1,0.81308,0.000495244,0.000495244,0.000495244
7,52.0718,0.24889,0.71139,1,0.7021,0.000493162,0.000493162,0.000493162
8,57.9949,0.2424,0.68643,1,0.78937,0.000490708,0.000490708,0.000490708
9,65.3093,0.21696,0.73947,1,0.64145,0.000487886,0.000487886,0.000487886
10,71.623,0.2188,0.73947,1,0.63237,0.000484702,0.000484702,0.000484702
11,77.5801,0.20217,0.72543,1,0.67657,0.00048116,0.00048116,0.00048116
12,84.7528,0.19359,0.74103,1,0.6462,0.000477265,0.000477265,0.000477265
13,91.2632,0.18589,0.74415,1,0.82495,0.000473024,0.000473024,0.000473024
14,97.0491,0.18838,0.72543,1,0.67248,0.000468443,0.000468443,0.000468443
15,102.894,0.1924,0.70359,1,0.66567,0.000463528,0.000463528,0.000463528
16,108.604,0.17544,0.73167,1,0.65127,0.000458289,0.000458289,0.000458289
17,115.53,0.15639,0.75039,1,0.68308,0.000452732,0.000452732,0.000452732
18,123.379,0.18008,0.74103,1,1.03351,0.000446866,0.000446866,0.000446866
19,129.559,0.15397,0.77379,1,0.64921,0.0004407,0.0004407,0.0004407
20,136.983,0.1558,0.75195,1,0.77295,0.000434245,0.000434245,0.000434245
21,144.96,0.14968,0.76599,1,1.5643,0.000427509,0.000427509,0.000427509
22,152.042,0.15821,0.76131,1,0.6844,0.000420503,0.000420503,0.000420503
23,160.104,0.14902,0.77691,1,0.62679,0.000413238,0.000413238,0.000413238
24,167.541,0.12921,0.78003,1,0.70251,0.000405726,0.000405726,0.000405726
25,175.339,0.14279,0.76911,1,0.66902,0.000397977,0.000397977,0.000397977
26,181.597,0.12833,0.75975,1,0.68446,0.000390004,0.000390004,0.000390004
27,189.506,0.13752,0.76131,1,0.72767,0.000381818,0.000381818,0.000381818
28,196.443,0.12327,0.77223,1,0.63743,0.000373434,0.000373434,0.000373434
29,202.398,0.12024,0.80187,1,0.69164,0.000364863,0.000364863,0.000364863
30,208.352,0.10331,0.76755,1,0.75824,0.000356118,0.000356118,0.000356118
31,214.264,0.11527,0.80967,1,0.6258,0.000347214,0.000347214,0.000347214
32,220.15,0.1198,0.78939,1,0.57886,0.000338164,0.000338164,0.000338164
33,226.301,0.10357,0.80499,1,0.66673,0.000328982,0.000328982,0.000328982
34,233.638,0.11464,0.79407,1,0.78904,0.000319682,0.000319682,0.000319682
35,240.307,0.10211,0.79095,1,0.69034,0.000310278,0.000310278,0.000310278
36,246.14,0.09349,0.78471,1,0.76012,0.000300785,0.000300785,0.000300785
37,253.059,0.08025,0.78315,1,1.47381,0.000291218,0.000291218,0.000291218
38,260.938,0.08357,0.79095,1,0.79858,0.000281591,0.000281591,0.000281591
39,266.869,0.09878,0.78159,1,0.838,0.000271919,0.000271919,0.000271919
40,272.608,0.08548,0.79251,1,0.70922,0.000262217,0.000262217,0.000262217
41,278.388,0.08302,0.79407,1,0.81166,0.0002525,0.0002525,0.0002525
42,285.226,0.08244,0.78939,1,0.8259,0.000242783,0.000242783,0.000242783
43,293.366,0.06941,0.78783,1,0.86526,0.000233081,0.000233081,0.000233081
44,299.363,0.07925,0.78315,1,0.87567,0.000223409,0.000223409,0.000223409
45,305.337,0.0757,0.79095,1,0.734,0.000213782,0.000213782,0.000213782
46,311.119,0.06612,0.79719,1,0.73425,0.000204215,0.000204215,0.000204215
47,316.914,0.10577,0.79407,1,0.75267,0.000194722,0.000194722,0.000194722
48,323.57,0.07623,0.79563,1,0.78583,0.000185318,0.000185318,0.000185318
49,331.542,0.06247,0.80499,1,0.76095,0.000176018,0.000176018,0.000176018
